Date,Time (est),Month,Temperature,Relative Humidity,Dwpt
16,00:54,1,28,69.0,30.05
16,01:54,1,26,71.0,30.04
16,02:54,1,26,71.0,30.03
16,03:54,1,26,71.0,30.02
16,04:54,1,26,71.0,30
16,05:54,1,26,71.0,30
16,06:54,1,27,72.0,30.01
16,07:54,1,28,72.0,30
16,08:54,1,33,64.0,29.98
16,09:54,1,35,57.0,29.98
16,10:54,1,36,55.0,29.97
16,11:54,1,36,55.0,29.94
16,12:54,1,39,48.0,29.92
16,13:54,1,38,51.0,29.92
16,14:54,1,38,51.0,29.93
16,15:54,1,38,51.0,29.93
16,16:54,1,38,48.0,29.95
16,17:54,1,39,45.0,29.97
16,18:54,1,37,48.0,29.99
16,19:54,1,37,48.0,30.01
16,20:54,1,38,46.0,30.03
16,21:54,1,36,40.0,30.07
16,22:54,1,35,38.0,30.1
16,23:54,1,33,43.0,30.13
17,00:54,1,31,43.0,30.17
17,01:54,1,29,34.0,30.21
17,02:54,1,25,42.0,30.25
17,03:54,1,23,40.0,30.28
17,04:54,1,21,41.0,30.31
17,05:54,1,20,43.0,30.32
17,06:54,1,18,39.0,30.35
17,07:54,1,18,37.0,30.37
17,08:54,1,19,36.0,30.4
17,09:54,1,21,31.0,30.42
17,10:54,1,24,25.0,30.41
17,11:54,1,26,22.0,30.38
17,12:54,1,27,20.0,30.36
17,13:54,1,29,18.0,30.35
17,14:54,1,27,29.0,30.35
17,15:54,1,27,32.0,30.34
17,16:54,1,25,33.0,30.34
17,17:54,1,26,34.0,30.35
17,18:54,1,27,35.0,30.35
17,19:54,1,27,43.0,30.35
17,20:54,1,27,49.0,30.34
17,21:54,1,27,49.0,30.34
17,22:54,1,27,51.0,30.34
17,23:54,1,27,51.0,30.31
18,00:54,1,27,51.0,30.29
18,01:54,1,29,36.0,30.27
18,02:54,1,28,43.0,30.27
18,03:54,1,29,43.0,30.22
18,04:54,1,28,53.0,30.18
18,05:54,1,29,66.0,30.16
18,06:54,1,30,72.0,30.17
18,07:54,1,30,75.0,30.16
18,08:54,1,33,72.0,30.15
18,09:54,1,35,70.0,30.14
18,10:54,1,36,67.0,30.13
18,11:54,1,39,67.0,30.09
18,12:54,1,39,67.0,30.04
18,13:54,1,40,65.0,30.03
18,14:54,1,42,55.0,30.01
18,15:54,1,42,53.0,30
18,16:54,1,40,60.0,30.03
18,17:54,1,40,60.0,30.03
18,18:54,1,39,65.0,30.03
18,19:54,1,40,63.0,30.04
18,20:54,1,39,65.0,30.06
18,21:54,1,38,62.0,30.07
18,22:54,1,37,65.0,30.1
18,23:54,1,37,59.0,30.11
19,00:54,1,36,52.0,30.13
19,01:54,1,35,48.0,30.15
19,02:54,1,34,50.0,30.16
19,03:54,1,33,47.0,30.19
19,04:54,1,32,50.0,30.2
19,05:54,1,29,58.0,30.22
19,06:54,1,28,63.0,30.26
19,07:54,1,29,56.0,30.28
19,08:54,1,30,49.0,30.3
19,09:54,1,32,43.0,30.32
19,10:54,1,32,43.0,30.32
19,11:54,1,33,42.0,30.31
19,12:54,1,31,47.0,30.28
19,13:54,1,31,49.0,30.26
19,14:54,1,30,66.0,30.24
19,15:54,1,31,72.0,30.26
19,16:54,1,31,76.0,30.27
19,17:54,1,30,82.0,30.27
19,18:54,1,30,85.0,30.24
19,19:54,1,30,85.0,30.22
19,20:54,1,30,82.0,30.2
19,21:54,1,31,85.0,30.15
19,22:54,1,32,88.0,30.14
19,23:54,1,32,92.0,30.09
20,00:54,1,34,89.0,30.03
20,01:54,1,32,92.0,29.98
20,02:54,1,33,89.0,29.93
20,03:54,1,33,92.0,29.87
20,04:54,1,34,92.0,29.75
20,05:54,1,36,89.0,29.7
20,06:54,1,37,89.0,29.64
20,07:54,1,36,89.0,29.58
20,08:54,1,30,88.0,29.51
20,09:54,1,27,89.0,29.49
20,10:54,1,23,85.0,29.44
20,11:54,1,24,84.0,29.4
20,12:54,1,28,88.0,29.26
20,13:54,1,27,89.0,29.25s
20,14:54,1,22,82.0,29.3
20,15:54,1,22,85.0,29.29
20,16:54,1,24,84.0,29.29
20,17:54,1,25,85.0,29.32
20,18:54,1,26,81.0,29.33
20,19:54,1,25,66.0,29.37
20,20:54,1,20,65.0,29.4
20,21:54,1,16,59.0,29.46
20,22:54,1,13,56.0,29.49
20,23:54,1,10,55.0,29.53
21,00:54,1,9,52.0,29.54
21,01:54,1,8,50.0,29.56
21,02:54,1,7,52.0,29.59
21,03:54,1,7,50.0,29.6
21,04:54,1,6,52.0,29.62
21,05:54,1,6,52.0,29.65
21,06:54,1,5,54.0,29.68
21,07:54,1,5,54.0,29.71
21,08:54,1,5,52.0,29.75
21,09:54,1,6,54.0,29.78
21,10:54,1,5,54.0,29.79
21,11:54,1,6,54.0,29.79
21,12:54,1,6,52.0,29.79
21,13:54,1,7,55.0,29.79
21,14:54,1,7,45.0,29.83
21,15:54,1,7,45.0,29.86
21,16:54,1,6,54.0,29.9
21,17:54,1,6,60.0,29.94
21,18:54,1,6,63.0,29.98
21,19:54,1,7,63.0,30.02
21,20:54,1,7,63.0,30.06
21,21:54,1,7,55.0,30.09
21,22:54,1,8,47.0,30.11
21,23:54,1,8,43.0,30.14
22,00:54,1,8,41.0,30.15
22,01:54,1,8,41.0,30.19
22,02:54,1,9,41.0,30.22
22,03:54,1,9,39.0,30.24
22,04:54,1,9,41.0,30.31
22,05:54,1,9,41.0,30.36
22,06:54,1,9,43.0,30.4
22,07:54,1,10,43.0,30.45
22,08:54,1,12,40.0,30.47
22,09:54,1,16,35.0,30.49
22,10:54,1,19,31.0,30.51
22,11:54,1,22,27.0,30.5
22,12:54,1,24,25.0,30.49
22,13:54,1,26,25.0,30.5
22,14:54,1,28,23.0,30.5
22,15:54,1,28,23.0,30.53
22,16:54,1,28,22.0,30.53
22,17:54,1,27,25.0,30.55
22,18:54,1,27,24.0,30.56
22,19:54,1,26,28.0,30.57
22,20:54,1,26,26.0,30.55
22,21:54,1,25,26.0,30.56
22,22:54,1,24,35.0,30.56
22,23:54,1,22,46.0,30.55
23,00:54,1,22,44.0,30.52
23,01:54,1,20,52.0,30.5
23,02:54,1,20,55.0,30.47
23,03:54,1,21,52.0,30.45
23,04:54,1,22,57.0,30.42
23,05:54,1,22,60.0,30.4
23,06:54,1,24,60.0,30.38
23,07:54,1,26,63.0,30.37
23,08:54,1,31,64.0,30.34
23,09:54,1,34,64.0,30.32
23,10:54,1,34,70.0,30.27
23,11:54,1,37,67.0,30.22
23,12:54,1,40,60.0,30.16
23,13:54,1,41,55.0,30.14
23,14:54,1,41,55.0,30.13
23,15:54,1,41,60.0,30.11
23,16:54,1,41,62.0,30.09
23,17:54,1,42,62.0,30.07
23,18:54,1,43,65.0,30.04
23,19:54,1,43,74.0,30.01
23,20:54,1,44,76.0,30
23,21:54,1,46,73.0,29.97
23,22:54,1,47,80.0,29.95
23,23:54,1,47,86.0,29.93
24,00:54,1,49,83.0,29.91
24,01:54,1,49,90.0,29.88
24,02:54,1,50,86.0,29.84
24,03:54,1,51,86.0,29.81
24,04:54,1,51,89.0,29.8
24,05:54,1,52,86.0,29.76
24,06:54,1,52,86.0,29.73
24,07:54,1,55,83.0,29.68
24,08:54,1,56,81.0,29.65
24,09:54,1,56,84.0,29.61
24,10:54,1,57,83.0,29.55
24,11:54,1,56,90.0,29.48
24,12:54,1,57,90.0,29.41
24,13:54,1,57,90.0,29.34
24,14:54,1,58,90.0,29.26
24,15:54,1,59,90.0,29.23
24,16:54,1,57,90.0,29.17
24,17:54,1,56,90.0,
24,18:54,1,52,86.0,29.2
24,19:54,1,53,74.0,29.26
24,20:54,1,49,69.0,29.37
24,21:54,1,43,63.0,29.45
24,22:54,1,40,65.0,29.5
24,23:54,1,37,62.0,29.57
25,00:54,1,36,59.0,29.62
25,01:54,1,35,57.0,29.66
25,02:54,1,35,57.0,29.69
25,03:54,1,34,59.0,29.71
25,04:54,1,34,59.0,29.75
25,05:54,1,34,54.0,29.78
25,06:54,1,34,54.0,29.83
25,07:54,1,35,54.0,29.85
25,08:54,1,36,52.0,29.85
25,09:54,1,37,50.0,29.86
25,10:54,1,39,45.0,29.85
25,11:54,1,41,41.0,29.84
25,12:54,1,41,39.0,29.83
25,13:54,1,40,40.0,29.83
25,14:54,1,40,38.0,29.85
25,15:54,1,39,41.0,29.87
25,16:54,1,38,37.0,29.9
25,17:54,1,37,39.0,29.93
25,18:54,1,37,39.0,29.98
25,19:54,1,34,44.0,30.02
25,20:54,1,33,40.0,30.05
25,21:54,1,32,43.0,30.06
25,22:54,1,30,45.0,30.09
25,23:54,1,29,45.0,30.12
26,00:54,1,28,41.0,30.15
26,01:54,1,27,45.0,30.17
26,02:54,1,26,46.0,30.17
26,03:54,1,25,42.0,30.19
26,04:54,1,25,44.0,30.2
26,05:54,1,25,44.0,30.2
26,06:54,1,25,44.0,30.22
26,07:54,1,26,44.0,30.23
26,08:54,1,27,39.0,30.24
26,09:54,1,29,38.0,30.24
26,10:54,1,31,35.0,30.24
26,11:54,1,31,35.0,30.21
26,12:54,1,33,33.0,30.2
26,13:54,1,35,32.0,30.19
26,14:54,1,35,32.0,30.18
26,15:54,1,35,32.0,30.18
26,16:54,1,34,32.0,30.21
26,17:54,1,34,32.0,30.23
26,18:54,1,32,36.0,30.25
26,19:54,1,33,35.0,30.27
26,20:54,1,32,36.0,30.27
26,21:54,1,31,40.0,30.27
26,22:54,1,31,40.0,30.27
26,23:54,1,28,56.0,30.27
27,00:54,1,28,58.0,30.27
27,01:54,1,31,54.0,30.27
27,02:54,1,28,60.0,30.27
27,03:54,1,27,61.0,30.24
27,04:54,1,28,58.0,30.22
27,05:54,1,30,58.0,30.21
27,06:54,1,30,61.0,30.2
27,07:54,1,32,61.0,30.18
27,08:54,1,34,59.0,30.17
27,09:54,1,36,59.0,30.14
27,10:54,1,41,60.0,30.09
27,11:54,1,44,58.0,30.05
27,12:54,1,45,56.0,30.01
27,13:54,1,46,50.0,30.01
27,14:54,1,46,51.0,29.93
27,15:54,1,44,58.0,29.93
27,16:54,1,43,63.0,29.93
27,17:54,1,43,63.0,29.93
27,18:54,1,43,65.0,29.92
27,19:54,1,43,68.0,29.91
27,20:54,1,43,68.0,29.92
27,21:54,1,42,68.0,29.92
27,22:54,1,41,67.0,29.92
27,23:54,1,41,65.0,29.92
28,00:54,1,42,55.0,29.94
28,01:54,1,37,59.0,29.97
28,02:54,1,36,55.0,29.97
28,03:54,1,34,54.0,30.01
28,04:54,1,32,47.0,30.02
28,05:54,1,30,45.0,30.05
28,06:54,1,28,49.0,30.05
28,07:54,1,27,45.0,30.05
28,08:54,1,27,43.0,30.12
28,09:54,1,29,34.0,30.13
28,10:54,1,28,35.0,30.14
28,11:54,1,30,33.0,30.11
28,12:54,1,31,31.0,30.1
28,13:54,1,32,33.0,30.09
28,14:54,1,31,33.0,30.07
28,15:54,1,30,33.0,30.09
28,16:54,1,29,31.0,30.09
28,17:54,1,28,32.0,30.08
28,18:54,1,27,35.0,30.08
28,19:54,1,27,32.0,30.08
28,20:54,1,27,34.0,30.09
28,21:54,1,26,40.0,30.08
28,22:54,1,25,40.0,30.09
28,23:54,1,25,44.0,30.09
29,00:54,1,25,50.0,30.09
29,01:54,1,25,55.0,30.1
29,02:54,1,25,63.0,30.09
29,03:54,1,28,63.0,30.08
29,04:54,1,28,63.0,30.08
29,05:54,1,28,63.0,30.09
29,06:54,1,22,71.0,30.13
29,07:54,1,21,74.0,30.14
29,08:54,1,21,71.0,30.13
29,09:54,1,24,71.0,30.13
29,10:54,1,26,69.0,30.11
29,11:54,1,29,69.0,30.07
29,12:54,1,30,69.0,30.05
29,13:54,1,34,64.0,30.03
29,14:54,1,34,64.0,30.02
29,15:54,1,35,67.0,29.99
29,16:54,1,35,67.0,29.96
29,17:54,1,36,67.0,29.96
29,18:54,1,36,70.0,29.94
29,19:54,1,37,70.0,29.92
29,20:54,1,37,73.0,29.9
29,21:54,1,37,79.0,29.85
29,22:54,1,37,86.0,29.83
29,23:54,1,37,86.0,29.8
30,00:54,1,37,89.0,29.76
30,01:54,1,38,93.0,29.73
30,02:54,1,38,93.0,29.71
30,03:54,1,38,93.0,29.7
30,04:54,1,34,89.0,29.71
30,05:54,1,28,81.0,29.73
30,06:54,1,28,78.0,29.74
30,07:54,1,29,75.0,29.76
30,08:54,1,30,66.0,29.77
30,09:54,1,30,64.0,29.79
30,10:54,1,29,51.0,29.8
30,11:54,1,30,43.0,29.78
30,12:54,1,30,34.0,29.75
30,13:54,1,32,29.0,29.75
30,14:54,1,32,30.0,29.75
30,15:54,1,33,32.0,29.77
30,16:54,1,31,36.0,29.76
30,17:54,1,30,39.0,29.76
30,18:54,1,28,72.0,29.76
30,19:54,1,23,60.0,29.84
30,20:54,1,19,68.0,29.89
30,21:54,1,13,42.0,29.97
30,22:54,1,11,38.0,30.02
30,23:54,1,9,36.0,30.06
31,00:54,1,8,37.0,30.08
31,01:54,1,8,39.0,30.11
31,02:54,1,7,39.0,30.14
31,03:54,1,6,38.0,30.16
31,04:54,1,5,40.0,30.19
31,05:54,1,5,38.0,30.19
31,06:54,1,5,38.0,30.22
31,07:54,1,6,38.0,30.24
31,08:54,1,6,38.0,30.28
31,09:54,1,9,37.0,30.28
31,10:54,1,11,34.0,30.29
31,11:54,1,13,31.0,30.27
31,12:54,1,15,27.0,30.25
31,13:54,1,17,25.0,30.23
31,14:54,1,17,25.0,30.22
31,15:54,1,18,25.0,30.23
31,16:54,1,17,25.0,30.24
31,17:54,1,16,27.0,30.27
31,18:54,1,15,32.0,30.29
31,19:54,1,14,33.0,30.3
31,20:54,1,14,33.0,30.32
31,21:54,1,14,35.0,30.32
31,22:54,1,14,33.0,30.33
31,23:54,1,14,35.0,30.33
1,00:54,2,14,33.0,30.32
1,01:54,2,13,35.0,30.33
1,02:54,2,13,36.0,30.33
1,03:54,2,12,40.0,30.34
1,04:54,2,11,40.0,30.35
1,05:54,2,11,38.0,30.35
1,06:54,2,11,38.0,30.37
1,07:54,2,12,38.0,30.39
1,08:54,2,14,36.0,30.39
1,09:54,2,17,35.0,30.38
1,10:54,2,18,34.0,30.37
1,11:54,2,20,32.0,30.34
1,12:54,2,22,30.0,30.32
1,13:54,2,22,30.0,30.3
1,14:54,2,23,30.0,30.29
1,15:54,2,23,30.0,30.29
1,16:54,2,22,31.0,30.29
1,17:54,2,21,36.0,30.3
1,18:54,2,21,36.0,30.31
1,19:54,2,20,36.0,30.32
1,20:54,2,19,37.0,30.32
1,21:54,2,18,41.0,30.32
1,22:54,2,17,43.0,30.32
1,23:54,2,17,45.0,30.33
2,00:54,2,16,47.0,30.32
2,01:54,2,16,47.0,30.33
2,02:54,2,16,47.0,30.31
2,03:54,2,15,53.0,30.31
2,04:54,2,15,49.0,30.31
2,05:54,2,15,51.0,30.31
