Date,Time (est),Month,DayOfWeek,Temperature (ºF),Relative Humidity,Dwpt
7,07:54,1,6,35.0,100.0,29.72
7,08:54,1,6,35.0,100.0,29.70
7,09:54,1,6,35.0,100.0,29.66
7,10:54,1,6,35.0,100.0,29.61
7,11:54,1,6,34.0,100.0,29.55
7,12:54,1,6,34.0,100.0,29.53
7,13:54,1,6,29.0,100.0,29.55
7,14:54,1,6,26.0,100.0,29.59
7,15:54,1,6,26.0,96.0,29.61
7,16:54,1,6,26.0,96.0,29.63
7,17:54,1,6,25.0,92.0,29.68
7,18:54,1,6,24.0,91.0,29.73
7,19:54,1,6,24.0,91.0,29.78
7,20:54,1,6,25.0,96.0,29.82
7,21:54,1,6,25.0,92.0,29.85
7,22:54,1,6,25.0,88.0,29.87
7,23:54,1,6,26.0,88.0,29.90
8,00:54,1,0,26.0,88.0,29.93
8,01:54,1,0,27.0,85.0,29.97
8,02:54,1,0,27.0,89.0,30.00
8,03:54,1,0,27.0,85.0,30.02
8,04:54,1,0,28.0,85.0,30.07
8,05:54,1,0,29.0,82.0,30.11
8,06:54,1,0,28.0,85.0,30.14
8,07:54,1,0,28.0,78.0,30.19
8,08:54,1,0,28.0,78.0,30.25
8,09:54,1,0,29.0,82.0,30.26
8,10:54,1,0,31.0,76.0,30.25
8,11:54,1,0,33.0,70.0,30.27
8,12:54,1,0,34.0,67.0,30.27
8,13:54,1,0,34.0,70.0,30.29
8,14:54,1,0,36.0,64.0,30.32
8,15:54,1,0,35.0,67.0,30.33
8,16:54,1,0,35.0,67.0,30.35
8,17:54,1,0,35.0,70.0,30.37
8,18:54,1,0,34.0,70.0,30.38
8,19:54,1,0,34.0,67.0,30.40
8,20:54,1,0,33.0,70.0,30.41
8,21:54,1,0,31.0,82.0,30.41
8,22:54,1,0,32.0,75.0,30.40
8,23:54,1,0,30.0,82.0,30.40
9,00:54,1,1,30.0,82.0,30.40
9,01:54,1,1,29.0,85.0,30.42
9,02:54,1,1,30.0,82.0,30.46
9,03:54,1,1,27.0,92.0,30.41
9,04:54,1,1,27.0,92.0,30.41
9,05:54,1,1,29.0,75.0,30.42
9,06:54,1,1,29.0,72.0,30.45
9,07:54,1,1,30.0,72.0,30.43
9,08:54,1,1,30.0,75.0,30.41
9,09:54,1,1,31.0,76.0,30.40
9,10:54,1,1,32.0,75.0,30.39
9,11:54,1,1,33.0,72.0,30.36
9,12:54,1,1,33.0,78.0,30.31
9,13:54,1,1,35.0,85.0,30.28
9,14:54,1,1,37.0,86.0,30.20
9,15:54,1,1,37.0,89.0,30.16
9,16:54,1,1,38.0,86.0,30.13
9,17:54,1,1,38.0,97.0,30.08
9,18:54,1,1,39.0,100.0,30.02
9,19:54,1,1,40.0,100.0,29.96
9,20:54,1,1,41.0,100.0,29.85
9,21:54,1,1,42.0,100.0,29.79
9,22:54,1,1,42.0,100.0,29.69
9,23:54,1,1,43.0,100.0,29.59
10,00:54,1,2,46.0,100.0,29.47
10,01:54,1,2,47.0,100.0,29.35
10,02:54,1,2,48.0,100.0,29.22
10,03:54,1,2,50.0,100.0,29.24
10,04:54,1,2,49.0,100.0,29.12
10,05:54,1,2,49.0,100.0,29.00
10,06:54,1,2,53.0,100.0,28.95
10,07:54,1,2,55.0,100.0,28.95s
10,08:54,1,2,56.0,97.0,29.00s
10,09:54,1,2,53.0,80.0,29.04s
10,10:54,1,2,52.0,80.0,29.05s
10,11:54,1,2,52.0,77.0,29.08
10,12:54,1,2,51.0,77.0,29.11
10,13:54,1,2,50.0,66.0,29.15
10,14:54,1,2,50.0,63.0,29.20
10,15:54,1,2,49.0,59.0,29.26
10,16:54,1,2,47.0,52.0,29.31
10,17:54,1,2,46.0,56.0,29.36
10,18:54,1,2,46.0,56.0,29.40
10,19:54,1,2,44.0,63.0,29.43
10,20:54,1,2,45.0,61.0,29.46
10,21:54,1,2,45.0,61.0,29.48
10,22:54,1,2,45.0,63.0,29.51
10,23:54,1,2,44.0,63.0,29.53
11,00:54,1,3,44.0,58.0,29.56
11,01:54,1,3,42.0,58.0,29.60
11,02:54,1,3,42.0,58.0,29.62
11,03:54,1,3,41.0,57.0,29.65
11,04:54,1,3,40.0,58.0,29.69
11,05:54,1,3,40.0,60.0,29.71
11,06:54,1,3,40.0,55.0,29.74
11,07:54,1,3,39.0,57.0,29.77
11,08:54,1,3,40.0,58.0,29.78
11,09:54,1,3,40.0,58.0,29.80
11,10:54,1,3,41.0,55.0,29.79
11,11:54,1,3,43.0,53.0,29.76
11,12:54,1,3,44.0,51.0,29.75
11,13:54,1,3,44.0,49.0,29.77
11,14:54,1,3,44.0,51.0,29.77
11,15:54,1,3,43.0,56.0,29.79
11,16:54,1,3,43.0,56.0,29.81
11,17:54,1,3,43.0,58.0,29.83
11,18:54,1,3,42.0,62.0,29.85
11,19:54,1,3,41.0,65.0,29.86
11,20:54,1,3,40.0,65.0,29.89
11,21:54,1,3,40.0,68.0,29.91
11,22:54,1,3,40.0,68.0,29.92
11,23:54,1,3,39.0,70.0,29.93
12,00:54,1,4,38.0,73.0,29.96
12,01:54,1,4,38.0,73.0,30.00
12,02:54,1,4,36.0,82.0,30.01
12,03:54,1,4,38.0,76.0,30.05
12,04:54,1,4,37.0,79.0,30.06
12,05:54,1,4,40.0,70.0,30.08
12,06:54,1,4,40.0,73.0,30.11
12,07:54,1,4,41.0,70.0,30.14
12,08:54,1,4,42.0,68.0,30.16
12,09:54,1,4,44.0,65.0,30.19
12,10:54,1,4,45.0,54.0,30.19
12,11:54,1,4,45.0,52.0,30.17
12,12:54,1,4,47.0,52.0,30.17
12,13:54,1,4,44.0,63.0,30.15
12,14:54,1,4,45.0,58.0,30.16
12,15:54,1,4,41.0,89.0,30.16
12,16:54,1,4,40.0,89.0,30.16
12,17:54,1,4,39.0,89.0,30.13
12,18:54,1,4,39.0,93.0,30.11
12,19:54,1,4,40.0,93.0,30.09
12,20:54,1,4,40.0,93.0,30.09
12,21:54,1,4,41.0,93.0,30.12
12,22:54,1,4,41.0,96.0,30.06
12,23:54,1,4,42.0,92.0,30.04
13,00:54,1,5,42.0,96.0,29.98
13,01:54,1,5,43.0,89.0,29.89
13,02:54,1,5,42.0,100.0,29.82
13,03:54,1,5,42.0,100.0,29.71
13,04:54,1,5,43.0,100.0,29.66
13,05:54,1,5,43.0,100.0,29.59
13,06:54,1,5,44.0,100.0,29.51
13,07:54,1,5,46.0,100.0,29.44
13,08:54,1,5,49.0,100.0,29.35
13,09:54,1,5,50.0,100.0,29.27
13,10:54,1,5,48.0,100.0,29.21
13,11:54,1,5,50.0,100.0,29.13
13,12:54,1,5,57.0,100.0,29.09
13,13:54,1,5,59.0,87.0,29.07
13,14:54,1,5,58.0,72.0,
13,15:54,1,5,57.0,69.0,
13,16:54,1,5,51.0,83.0,29.16
13,17:54,1,5,48.0,77.0,29.24
13,18:54,1,5,43.0,80.0,29.32
13,19:54,1,5,43.0,71.0,29.36
13,20:54,1,5,43.0,68.0,29.40
13,21:54,1,5,42.0,55.0,29.43
13,22:54,1,5,40.0,53.0,29.48
13,23:54,1,5,40.0,53.0,29.53
14,00:54,1,6,38.0,48.0,29.58
14,01:54,1,6,37.0,46.0,29.63
14,02:54,1,6,37.0,50.0,29.67
14,03:54,1,6,35.0,54.0,29.70
14,04:54,1,6,34.0,54.0,29.72
14,05:54,1,6,33.0,56.0,29.74
14,06:54,1,6,32.0,59.0,29.77
14,07:54,1,6,33.0,56.0,29.78
14,08:54,1,6,34.0,54.0,29.79
14,09:54,1,6,36.0,50.0,29.78
14,10:54,1,6,38.0,48.0,29.76
14,11:54,1,6,39.0,50.0,29.72
14,12:54,1,6,41.0,47.0,29.70
14,13:54,1,6,40.0,51.0,29.69
14,14:54,1,6,38.0,62.0,29.68
14,15:54,1,6,37.0,76.0,29.69
14,16:54,1,6,38.0,46.0,29.73
14,17:54,1,6,32.0,69.0,29.83
14,18:54,1,6,30.0,47.0,29.91
14,19:54,1,6,29.0,45.0,29.96
14,20:54,1,6,28.0,47.0,30.00
14,21:54,1,6,28.0,43.0,30.03
14,22:54,1,6,27.0,41.0,30.04
14,23:54,1,6,27.0,39.0,30.05
15,00:54,1,0,26.0,40.0,30.06
15,01:54,1,0,26.0,40.0,30.10
15,02:54,1,0,25.0,40.0,30.13
15,03:54,1,0,24.0,46.0,30.15
15,04:54,1,0,24.0,44.0,30.15
15,05:54,1,0,24.0,46.0,30.17
15,06:54,1,0,23.0,48.0,30.18
15,07:54,1,0,23.0,48.0,30.20
15,08:54,1,0,25.0,46.0,30.22
15,09:54,1,0,27.0,45.0,30.22
15,10:54,1,0,29.0,39.0,30.19
15,11:54,1,0,30.0,36.0,30.18
15,12:54,1,0,31.0,36.0,30.17
15,13:54,1,0,31.0,35.0,30.16
15,14:54,1,0,32.0,32.0,30.17
15,15:54,1,0,31.0,35.0,30.18
15,16:54,1,0,31.0,35.0,30.17
15,17:54,1,0,31.0,35.0,30.18
15,18:54,1,0,31.0,36.0,30.19
15,19:54,1,0,31.0,36.0,30.18
15,20:54,1,0,30.0,38.0,30.18
15,21:54,1,0,30.0,36.0,30.18
15,22:54,1,0,30.0,45.0,30.19
15,23:54,1,0,30.0,41.0,30.18
16,00:54,1,1,29.0,54.0,30.16
16,01:54,1,1,27.0,75.0,30.16
16,02:54,1,1,25.0,96.0,30.14
16,03:54,1,1,25.0,100.0,30.13
16,04:54,1,1,25.0,100.0,30.11
16,05:54,1,1,25.0,100.0,30.09
16,06:54,1,1,26.0,100.0,30.07
16,07:54,1,1,26.0,100.0,30.03
16,08:54,1,1,27.0,100.0,30.01
16,09:54,1,1,28.0,100.0,29.98
16,10:54,1,1,30.0,100.0,29.92
16,11:54,1,1,33.0,100.0,29.81
16,12:54,1,1,33.0,100.0,29.75
16,13:54,1,1,34.0,100.0,29.66
16,14:54,1,1,34.0,100.0,29.62
16,15:54,1,1,32.0,100.0,29.58
16,16:54,1,1,32.0,100.0,29.56s
16,17:54,1,1,28.0,100.0,29.58
16,18:54,1,1,26.0,92.0,29.61
16,19:54,1,1,27.0,92.0,29.59
16,20:54,1,1,28.0,85.0,29.60
16,21:54,1,1,27.0,72.0,29.62
16,22:54,1,1,25.0,72.0,29.65
16,23:54,1,1,24.0,65.0,29.67
17,00:54,1,2,23.0,72.0,29.67
17,01:54,1,2,22.0,68.0,29.70
17,02:54,1,2,21.0,68.0,29.71
17,03:54,1,2,21.0,68.0,29.72
17,04:54,1,2,20.0,65.0,29.74
17,05:54,1,2,20.0,65.0,29.75
17,06:54,1,2,19.0,65.0,29.78
17,07:54,1,2,20.0,62.0,29.81
17,08:54,1,2,20.0,62.0,29.83
17,09:54,1,2,22.0,57.0,29.85
17,10:54,1,2,24.0,57.0,29.84
17,11:54,1,2,25.0,58.0,29.83
17,12:54,1,2,26.0,55.0,29.81
17,13:54,1,2,27.0,53.0,29.81
17,14:54,1,2,26.0,51.0,29.81
17,15:54,1,2,26.0,53.0,29.84
17,16:54,1,2,24.0,52.0,29.86
17,17:54,1,2,24.0,50.0,29.89
17,18:54,1,2,23.0,48.0,29.92
17,19:54,1,2,22.0,48.0,29.95
17,20:54,1,2,21.0,45.0,29.97
17,21:54,1,2,20.0,50.0,29.99
17,22:54,1,2,20.0,52.0,30.00
17,23:54,1,2,19.0,51.0,30.00
18,00:54,1,3,19.0,51.0,30.01
18,01:54,1,3,18.0,54.0,30.03
18,02:54,1,3,19.0,49.0,30.04
18,03:54,1,3,19.0,49.0,30.06
18,04:54,1,3,19.0,51.0,30.08
18,05:54,1,3,18.0,57.0,30.09
18,06:54,1,3,20.0,52.0,30.09
18,07:54,1,3,20.0,52.0,30.09
18,08:54,1,3,20.0,55.0,30.11
18,09:54,1,3,21.0,54.0,30.11
18,10:54,1,3,23.0,55.0,30.11
18,11:54,1,3,25.0,55.0,30.08
18,12:54,1,3,27.0,53.0,30.05
18,13:54,1,3,29.0,54.0,30.04
18,14:54,1,3,28.0,56.0,30.03
18,15:54,1,3,28.0,58.0,30.03
18,16:54,1,3,28.0,60.0,30.03
18,17:54,1,3,28.0,60.0,30.04
18,18:54,1,3,28.0,60.0,30.04
18,19:54,1,3,27.0,69.0,30.04
18,20:54,1,3,27.0,72.0,30.04
18,21:54,1,3,28.0,69.0,30.05
18,22:54,1,3,28.0,69.0,30.05
18,23:54,1,3,27.0,69.0,30.02
19,00:54,1,4,27.0,69.0,30.00
19,01:54,1,4,26.0,71.0,29.97
19,02:54,1,4,26.0,69.0,29.97
19,03:54,1,4,25.0,72.0,29.95
19,04:54,1,4,25.0,72.0,29.95
19,05:54,1,4,24.0,75.0,29.93
19,06:54,1,4,25.0,69.0,29.92
19,07:54,1,4,24.0,75.0,29.91
19,08:54,1,4,25.0,72.0,29.91
19,09:54,1,4,25.0,75.0,29.88
19,10:54,1,4,27.0,63.0,29.87
19,11:54,1,4,28.0,53.0,29.82
19,12:54,1,4,29.0,51.0,29.78
19,13:54,1,4,28.0,51.0,29.75
19,14:54,1,4,28.0,49.0,29.73
19,15:54,1,4,27.0,51.0,29.72
19,16:54,1,4,26.0,55.0,29.72
19,17:54,1,4,26.0,53.0,29.72
19,18:54,1,4,25.0,50.0,29.72
19,19:54,1,4,24.0,50.0,29.73
19,20:54,1,4,22.0,55.0,29.74
19,21:54,1,4,21.0,50.0,29.74
19,22:54,1,4,20.0,43.0,29.73
19,23:54,1,4,20.0,48.0,29.73
20,00:54,1,5,18.0,47.0,29.73
20,01:54,1,5,16.0,49.0,29.75
20,02:54,1,5,16.0,49.0,29.75
20,03:54,1,5,15.0,51.0,29.76
20,04:54,1,5,15.0,51.0,29.77
20,05:54,1,5,14.0,53.0,29.79
20,06:54,1,5,14.0,56.0,29.80
20,07:54,1,5,14.0,56.0,29.82
20,08:54,1,5,15.0,56.0,29.82
20,09:54,1,5,15.0,56.0,29.82
20,10:54,1,5,16.0,56.0,29.81
20,11:54,1,5,18.0,54.0,29.79
20,12:54,1,5,18.0,54.0,29.78
20,13:54,1,5,19.0,51.0,29.79
20,14:54,1,5,20.0,52.0,29.80
20,15:54,1,5,20.0,52.0,29.82
20,16:54,1,5,17.0,80.0,29.85
20,17:54,1,5,16.0,84.0,29.87
20,18:54,1,5,16.0,80.0,29.89
20,19:54,1,5,16.0,67.0,29.90
20,20:54,1,5,15.0,70.0,29.91
20,21:54,1,5,15.0,64.0,29.93
20,22:54,1,5,14.0,71.0,29.95
20,23:54,1,5,15.0,61.0,29.96
21,00:54,1,6,15.0,64.0,29.98
21,01:54,1,6,16.0,62.0,30.00
21,02:54,1,6,16.0,62.0,30.02
21,03:54,1,6,15.0,61.0,30.03
21,04:54,1,6,15.0,61.0,30.06
21,05:54,1,6,15.0,61.0,30.08
21,06:54,1,6,15.0,61.0,30.11
21,07:54,1,6,15.0,59.0,30.15
21,08:54,1,6,16.0,56.0,30.17
21,09:54,1,6,18.0,54.0,30.19
21,10:54,1,6,19.0,51.0,30.19
21,11:54,1,6,21.0,50.0,30.18
21,12:54,1,6,23.0,46.0,30.16
21,13:54,1,6,26.0,40.0,30.16
21,14:54,1,6,27.0,41.0,30.18
21,15:54,1,6,28.0,37.0,30.21
21,16:54,1,6,26.0,38.0,30.24
21,17:54,1,6,26.0,38.0,30.27
21,18:54,1,6,25.0,40.0,30.30
21,19:54,1,6,23.0,42.0,30.32
21,20:54,1,6,23.0,44.0,30.34
21,21:54,1,6,22.0,46.0,30.36
21,22:54,1,6,21.0,50.0,30.37
21,23:54,1,6,21.0,50.0,30.39
22,00:54,1,0,21.0,50.0,30.40
22,01:54,1,0,20.0,52.0,30.42
22,02:54,1,0,20.0,52.0,30.43
22,03:54,1,0,20.0,52.0,30.42
22,04:54,1,0,19.0,54.0,30.43
22,05:54,1,0,21.0,45.0,30.44
22,06:54,1,0,20.0,50.0,30.46
22,07:54,1,0,22.0,50.0,30.47
22,08:54,1,0,25.0,50.0,30.47
22,09:54,1,0,28.0,51.0,30.47
22,10:54,1,0,29.0,43.0,30.45
22,11:54,1,0,32.0,43.0,30.40
22,12:54,1,0,35.0,44.0,30.38
22,13:54,1,0,37.0,44.0,30.37
22,14:54,1,0,38.0,43.0,30.37
22,15:54,1,0,38.0,46.0,30.36
22,16:54,1,0,37.0,44.0,30.37
22,17:54,1,0,36.0,46.0,30.37
22,18:54,1,0,36.0,46.0,30.35
22,19:54,1,0,35.0,50.0,30.33
22,20:54,1,0,34.0,52.0,30.30
22,21:54,1,0,35.0,52.0,30.30
22,22:54,1,0,35.0,50.0,30.29
22,23:54,1,0,36.0,48.0,30.29
23,00:54,1,1,36.0,48.0,30.28
23,01:54,1,1,37.0,44.0,30.28
23,02:54,1,1,36.0,46.0,30.28
23,03:54,1,1,36.0,46.0,30.30
23,04:54,1,1,34.0,52.0,30.32
23,05:54,1,1,36.0,44.0,30.32
23,06:54,1,1,36.0,48.0,30.34
23,07:54,1,1,37.0,50.0,30.37
23,08:54,1,1,38.0,55.0,30.39
23,09:54,1,1,39.0,57.0,30.41
23,10:54,1,1,39.0,60.0,30.42
23,11:54,1,1,39.0,62.0,30.43
23,12:54,1,1,40.0,63.0,30.44
23,13:54,1,1,39.0,62.0,30.45
23,14:54,1,1,39.0,62.0,30.46
23,15:54,1,1,39.0,62.0,30.49
23,16:54,1,1,39.0,62.0,30.50
23,17:54,1,1,38.0,68.0,30.53
23,18:54,1,1,37.0,67.0,30.54
23,19:54,1,1,36.0,70.0,30.55
23,20:54,1,1,36.0,73.0,30.57
23,21:54,1,1,35.0,78.0,30.58
23,22:54,1,1,34.0,89.0,30.59
23,23:54,1,1,32.0,100.0,30.59
24,00:54,1,2,32.0,100.0,30.59
24,01:54,1,2,32.0,100.0,30.60
24,02:54,1,2,32.0,100.0,30.60
24,03:54,1,2,32.0,100.0,30.59
24,04:54,1,2,33.0,100.0,30.59
24,05:54,1,2,34.0,100.0,30.58
24,06:54,1,2,34.0,100.0,30.58
24,07:54,1,2,34.0,100.0,30.58
24,08:54,1,2,34.0,100.0,30.58
24,09:54,1,2,34.0,100.0,30.58
24,10:54,1,2,35.0,100.0,30.56
24,11:54,1,2,35.0,100.0,30.53
24,12:54,1,2,35.0,100.0,30.50
24,13:54,1,2,36.0,100.0,30.49
24,14:54,1,2,37.0,100.0,30.46
24,15:54,1,2,37.0,100.0,30.46
24,16:54,1,2,37.0,100.0,30.44
24,17:54,1,2,37.0,100.0,30.41
24,18:54,1,2,38.0,100.0,30.39
24,19:54,1,2,38.0,100.0,30.36
24,20:54,1,2,38.0,100.0,30.33
24,21:54,1,2,38.0,100.0,30.29
24,22:54,1,2,39.0,100.0,30.26
24,23:54,1,2,39.0,100.0,30.21
25,00:54,1,3,39.0,100.0,30.16
25,01:54,1,3,41.0,100.0,30.11
25,02:54,1,3,46.0,100.0,30.08
25,03:54,1,3,47.0,100.0,30.04
25,04:54,1,3,48.0,100.0,30.01
25,05:54,1,3,50.0,100.0,30.02
25,06:54,1,3,50.0,100.0,30.05
25,07:54,1,3,51.0,96.0,30.06
25,08:54,1,3,51.0,96.0,30.08
25,09:54,1,3,47.0,100.0,30.11
25,10:54,1,3,48.0,96.0,30.11
25,11:54,1,3,49.0,93.0,30.12
25,12:54,1,3,50.0,86.0,30.11
25,13:54,1,3,43.0,100.0,30.13
25,14:54,1,3,43.0,97.0,30.15
25,15:54,1,3,43.0,93.0,30.17
25,16:54,1,3,40.0,100.0,30.20
25,17:54,1,3,40.0,97.0,30.22
25,18:54,1,3,40.0,93.0,30.25
25,19:54,1,3,41.0,86.0,30.27
25,20:54,1,3,40.0,93.0,30.28
25,21:54,1,3,40.0,97.0,30.29
25,22:54,1,3,40.0,100.0,30.31
25,23:54,1,3,40.0,100.0,30.30
26,00:54,1,4,40.0,93.0,30.28
26,01:54,1,4,39.0,96.0,30.28
26,02:54,1,4,39.0,93.0,30.26
26,03:54,1,4,39.0,93.0,30.23
26,04:54,1,4,38.0,97.0,30.21
26,05:54,1,4,38.0,100.0,30.20
26,06:54,1,4,38.0,100.0,30.19
26,07:54,1,4,38.0,100.0,30.19
26,08:54,1,4,39.0,100.0,30.17
26,09:54,1,4,39.0,100.0,30.18
26,10:54,1,4,39.0,100.0,30.12
26,11:54,1,4,40.0,100.0,30.08
26,12:54,1,4,40.0,100.0,30.03
26,13:54,1,4,41.0,100.0,30.02
26,14:54,1,4,41.0,100.0,30.00
26,15:54,1,4,41.0,100.0,30.01
26,16:54,1,4,40.0,100.0,30.01
26,17:54,1,4,40.0,100.0,30.02
26,18:54,1,4,40.0,100.0,30.05
26,19:54,1,4,40.0,100.0,30.06
26,20:54,1,4,40.0,100.0,30.09
26,21:54,1,4,39.0,100.0,30.09
26,22:54,1,4,38.0,100.0,30.11
26,23:54,1,4,37.0,100.0,30.11
27,00:54,1,5,37.0,100.0,30.11
27,01:54,1,5,37.0,100.0,30.12
27,02:54,1,5,36.0,100.0,30.12
27,03:54,1,5,36.0,100.0,30.14
27,04:54,1,5,36.0,100.0,30.15
27,05:54,1,5,35.0,100.0,30.17
27,06:54,1,5,35.0,100.0,30.19
27,07:54,1,5,35.0,100.0,30.21
