Date,Time (est),Month,DayOfWeek,Temperature,Relative Humidity,Dwpt
3,8:54,1,3,38,86,29.87
3,9:54,1,3,38,86,29.87
3,10:54,1,3,42,73,29.83
3,11:54,1,3,45,63,29.8
3,12:54,1,3,45,56,29.81
3,13:54,1,3,45,54,29.81
3,14:54,1,3,45,52,29.84
3,15:54,1,3,44,49,29.86
3,16:54,1,3,42,53,29.88
3,17:54,1,3,41,53,29.91
3,18:54,1,3,40,58,29.93
3,19:54,1,3,39,57,29.95
3,20:54,1,3,38,55,29.96
3,21:54,1,3,38,55,29.96
3,22:54,1,3,39,53,29.95
3,23:54,1,3,39,48,29.96
4,0:54,1,4,38,51,29.96
4,1:54,1,4,38,51,29.98
4,2:54,1,4,37,54,29.97
4,3:54,1,4,37,57,29.95
4,4:54,1,4,36,62,29.94
4,5:54,1,4,36,62,29.95
4,6:54,1,4,35,64,29.96
4,7:54,1,4,36,62,29.96
4,8:54,1,4,38,60,29.95
4,9:54,1,4,41,53,29.93
4,10:54,1,4,43,49,29.88
4,11:54,1,4,45,46,29.85
4,12:54,1,4,47,42,29.83
4,13:54,1,4,47,42,29.82
4,14:54,1,4,47,44,29.81
4,15:54,1,4,46,47,29.82
4,16:54,1,4,44,53,29.82
4,17:54,1,4,43,58,29.82
4,18:54,1,4,43,58,29.84
4,19:54,1,4,42,60,29.83
4,20:54,1,4,42,60,29.83
4,21:54,1,4,42,62,29.81
4,22:54,1,4,40,68,29.79
4,23:54,1,4,40,70,29.77
5,0:54,1,5,40,73,29.76
5,1:54,1,5,40,73,29.75
5,2:54,1,5,40,73,29.74
5,3:54,1,5,40,77,29.72
5,4:54,1,5,39,79,29.68
5,5:54,1,5,40,83,29.67
5,6:54,1,5,40,86,29.66
5,7:54,1,5,41,86,29.67
5,8:54,1,5,42,89,29.68
5,9:54,1,5,43,89,29.65
5,10:54,1,5,43,86,29.6
5,11:54,1,5,42,89,29.56
5,12:54,1,5,42,85,29.53
5,13:54,1,5,41,89,29.49
5,14:54,1,5,41,89,29.48
5,15:54,1,5,40,89,29.49
5,16:54,1,5,40,89,29.49
5,17:54,1,5,40,86,29.51
5,18:54,1,5,40,86,29.53
5,19:54,1,5,39,89,29.55
5,20:54,1,5,39,86,29.56
5,21:54,1,5,39,82,29.54
5,22:54,1,5,38,83,29.57
5,23:54,1,5,38,76,29.59
6,0:54,1,6,38,76,29.62
6,1:54,1,6,37,76,29.65
6,2:54,1,6,36,79,29.67
6,3:54,1,6,36,79,29.67
6,4:54,1,6,37,76,29.68
6,5:54,1,6,38,70,29.69
6,6:54,1,6,38,70,29.72
6,7:54,1,6,38,70,29.74
6,8:54,1,6,39,70,29.77
6,9:54,1,6,40,68,29.78
6,10:54,1,6,42,62,29.78
6,11:54,1,6,44,60,29.77
6,12:54,1,6,45,56,29.76
6,13:54,1,6,47,50,29.78
6,14:54,1,6,43,56,29.81
6,15:54,1,6,42,51,29.85
6,16:54,1,6,39,46,29.91
6,17:54,1,6,36,46,29.97
6,18:54,1,6,34,44,30.02
6,19:54,1,6,32,38,30.07
6,20:54,1,6,30,39,30.1
6,21:54,1,6,29,41,30.11
6,22:54,1,6,27,43,30.14
6,23:54,1,6,25,46,30.18
7,0:54,1,0,24,44,30.21
7,1:54,1,0,24,46,30.23
7,2:54,1,0,23,44,30.26
7,3:54,1,0,21,39,30.3
7,4:54,1,0,21,38,30.32
7,5:54,1,0,20,36,30.35
7,6:54,1,0,19,36,30.37
7,7:54,1,0,19,37,30.41
7,8:54,1,0,21,33,30.43
7,9:54,1,0,23,30,30.45
7,10:54,1,0,25,28,30.44
7,11:54,1,0,28,26,30.4
7,12:54,1,0,30,22,30.4
7,13:54,1,0,30,20,30.41
7,14:54,1,0,31,20,30.41
7,15:54,1,0,30,20,30.42
7,16:54,1,0,29,21,30.41
7,17:54,1,0,29,26,30.41
7,18:54,1,0,28,27,30.42
7,19:54,1,0,27,32,30.4
7,20:54,1,0,28,29,30.41
7,21:54,1,0,28,34,30.37
7,22:54,1,0,30,38,30.35
7,23:54,1,0,31,42,30.35
8,0:54,1,1,31,36,30.36
8,1:54,1,1,30,36,30.36
8,2:54,1,1,30,36,30.32
8,3:54,1,1,31,45,30.28
8,4:54,1,1,32,54,30.2
8,5:54,1,1,32,61,30.21
8,6:54,1,1,33,66,30.19
8,7:54,1,1,33,72,30.16
8,8:54,1,1,34,75,30.14
8,9:54,1,1,36,76,30.12
8,10:54,1,1,37,89,30.07
8,11:54,1,1,38,93,30.01
8,12:54,1,1,42,89,29.97
8,13:54,1,1,41,89,29.92
8,14:54,1,1,41,93,29.89
8,15:54,1,1,42,89,29.86
8,16:54,1,1,41,93,29.82
8,17:54,1,1,42,92,29.79
8,18:54,1,1,42,92,29.76
8,19:54,1,1,41,93,29.72
8,20:54,1,1,40,93,29.69
8,21:54,1,1,36,93,29.66
8,22:54,1,1,35,93,29.6
8,23:54,1,1,37,89,29.57
9,0:54,1,2,35,93,29.54
9,1:54,1,2,35,93,29.51
9,2:54,1,2,36,93,29.49
9,3:54,1,2,36,89,29.44
9,4:54,1,2,36,97,29.39
9,5:54,1,2,37,93,29.36
9,6:54,1,2,37,96,29.33
9,7:54,1,2,40,93,29.31
9,8:54,1,2,43,74,29.3
9,9:54,1,2,44,71,29.29
9,10:54,1,2,44,65,29.27
9,11:54,1,2,45,63,29.25
9,12:54,1,2,45,61,29.27
9,13:54,1,2,43,71,29.29
9,14:54,1,2,44,60,29.31
9,15:54,1,2,44,55,29.34
9,16:54,1,2,43,58,29.35
9,17:54,1,2,42,58,29.38
9,18:54,1,2,40,60,29.41
9,19:54,1,2,39,55,29.41
9,20:54,1,2,38,55,29.4
9,21:54,1,2,37,54,29.41
9,22:54,1,2,36,57,29.4
9,23:54,1,2,37,54,29.4
10,0:54,1,3,36,55,29.4
10,1:54,1,3,35,54,29.41
10,2:54,1,3,36,55,29.42
10,3:54,1,3,36,55,29.41
10,4:54,1,3,36,55,29.41
10,5:54,1,3,36,55,29.42
10,6:54,1,3,35,61,29.44
10,7:54,1,3,35,59,29.46
10,8:54,1,3,36,59,29.48
10,9:54,1,3,35,59,29.5
10,10:54,1,3,35,54,29.5
10,11:54,1,3,35,57,29.5
10,12:54,1,3,34,56,29.52
10,13:54,1,3,34,48,29.53
10,14:54,1,3,35,44,29.56
10,15:54,1,3,35,44,29.59
10,16:54,1,3,35,46,29.62
10,17:54,1,3,33,47,29.65
10,18:54,1,3,32,50,29.68
10,19:54,1,3,30,51,29.69
10,20:54,1,3,30,49,29.73
10,21:54,1,3,28,51,29.76
10,22:54,1,3,27,49,29.78
10,23:54,1,3,26,51,29.79
11,0:54,1,4,25,53,29.82
11,1:54,1,4,25,53,29.83
11,2:54,1,4,25,55,29.85
11,3:54,1,4,26,53,29.86
11,4:54,1,4,26,53,29.88
11,5:54,1,4,26,53,29.9
11,6:54,1,4,25,53,29.93
11,7:54,1,4,25,50,29.98
11,8:54,1,4,25,48,30.02
11,9:54,1,4,27,43,30.05
11,10:54,1,4,28,41,30.05
11,11:54,1,4,28,41,30.05
11,12:54,1,4,29,38,30.06
11,13:54,1,4,28,37,30.07
11,14:54,1,4,27,37,30.1
11,15:54,1,4,27,32,30.12
11,16:54,1,4,25,29,30.15
11,17:54,1,4,23,30,30.19
11,18:54,1,4,22,31,30.22
11,19:54,1,4,21,31,30.25
11,20:54,1,4,19,34,30.28
11,21:54,1,4,18,35,30.32
11,22:54,1,4,17,37,30.33
11,23:54,1,4,17,35,30.33
12,0:54,1,5,16,38,30.37
12,1:54,1,5,16,38,30.37
12,2:54,1,5,16,37,30.39
12,3:54,1,5,15,40,30.4
12,4:54,1,5,15,44,30.42
12,5:54,1,5,15,44,30.44
12,6:54,1,5,15,44,30.46
12,7:54,1,5,16,45,30.47
12,8:54,1,5,18,41,30.48
12,9:54,1,5,20,36,30.48
12,10:54,1,5,23,32,30.46
12,11:54,1,5,25,29,30.43
12,12:54,1,5,28,26,30.42
12,13:54,1,5,28,26,30.42
12,14:54,1,5,28,26,30.43
12,15:54,1,5,28,27,30.44
12,16:54,1,5,27,28,30.44
12,17:54,1,5,26,29,30.46
12,18:54,1,5,25,30,30.48
12,19:54,1,5,24,33,30.48
12,20:54,1,5,23,35,30.48
12,21:54,1,5,22,36,30.48
12,22:54,1,5,21,38,30.47
12,23:54,1,5,20,41,30.47
13,0:54,1,6,19,45,30.47
13,1:54,1,6,19,45,30.47
13,2:54,1,6,18,47,30.46
13,3:54,1,6,17,49,30.46
13,4:54,1,6,17,49,30.47
13,5:54,1,6,17,51,30.48
13,6:54,1,6,16,54,30.46
13,7:54,1,6,16,54,30.47
13,8:54,1,6,18,49,30.48
13,9:54,1,6,20,45,30.49
13,10:54,1,6,23,44,30.47
13,11:54,1,6,26,44,30.44
13,12:54,1,6,29,43,30.42
13,13:54,1,6,28,47,30.41
13,14:54,1,6,28,51,30.41
13,15:54,1,6,27,51,30.39
13,16:54,1,6,26,53,30.39
13,17:54,1,6,25,55,30.4
13,18:54,1,6,24,62,30.4
13,19:54,1,6,25,66,30.38
13,20:54,1,6,25,66,30.38
13,21:54,1,6,27,63,30.37
13,22:54,1,6,27,63,30.36
13,23:54,1,6,26,66,30.34
14,0:54,1,0,26,63,30.32
14,1:54,1,0,25,63,30.33
14,2:54,1,0,25,60,30.32
14,3:54,1,0,25,60,30.29
14,4:54,1,0,25,63,30.27
14,5:54,1,0,24,65,30.27
14,6:54,1,0,24,62,30.27
14,7:54,1,0,24,65,30.27
14,8:54,1,0,25,63,30.28
14,9:54,1,0,26,63,30.28
14,10:54,1,0,28,63,30.26
14,11:54,1,0,29,63,30.22
14,12:54,1,0,30,64,30.19
14,13:54,1,0,31,59,30.18
14,14:54,1,0,30,61,30.16
14,15:54,1,0,29,63,30.14
14,16:54,1,0,28,63,30.13
14,17:54,1,0,28,63,30.12
14,18:54,1,0,30,47,30.11
14,19:54,1,0,29,54,30.1
14,20:54,1,0,29,47,30.09
14,21:54,1,0,28,51,30.09
14,22:54,1,0,27,46,30.08
14,23:54,1,0,27,45,30.06
15,0:54,1,1,26,44,30.06
15,1:54,1,1,26,42,30.05
15,2:54,1,1,25,42,30.04
15,3:54,1,1,25,42,30.03
15,4:54,1,1,25,40,30.03
15,5:54,1,1,26,40,30.04
15,6:54,1,1,25,42,30.06
15,7:54,1,1,26,40,30.07
15,8:54,1,1,27,43,30.09
15,9:54,1,1,30,45,30.1
15,10:54,1,1,32,45,30.09
15,11:54,1,1,34,42,30.07
15,12:54,1,1,36,40,30.05
15,13:54,1,1,38,43,30.05
15,14:54,1,1,37,46,30.05
15,15:54,1,1,37,46,30.06
15,16:54,1,1,36,48,30.06
15,17:54,1,1,34,52,30.08
15,18:54,1,1,32,59,30.09
15,19:54,1,1,32,56,30.1
15,20:54,1,1,30,61,30.1
15,21:54,1,1,31,59,30.09
15,22:54,1,1,30,66,30.09
15,23:54,1,1,28,69,30.07
16,0:54,1,2,28,69,30.05
16,1:54,1,2,26,71,30.04
16,2:54,1,2,26,71,30.03
16,3:54,1,2,26,71,30.02
16,4:54,1,2,26,71,30
16,5:54,1,2,26,71,30
16,6:54,1,2,27,72,30.01
16,7:54,1,2,28,72,30
16,8:54,1,2,33,64,29.98
16,9:54,1,2,35,57,29.98
16,10:54,1,2,36,55,29.97
16,11:54,1,2,36,55,29.94
16,12:54,1,2,39,48,29.92
16,13:54,1,2,38,51,29.92
16,14:54,1,2,38,51,29.93
16,15:54,1,2,38,51,29.93
16,16:54,1,2,38,48,29.95
16,17:54,1,2,39,45,29.97
16,18:54,1,2,37,48,29.99
16,19:54,1,2,37,48,30.01
16,20:54,1,2,38,46,30.03
16,21:54,1,2,36,40,30.07
16,22:54,1,2,35,38,30.1
16,23:54,1,2,33,43,30.13
17,0:54,1,3,31,43,30.17
17,1:54,1,3,29,34,30.21
17,2:54,1,3,25,42,30.25
17,3:54,1,3,23,40,30.28
17,4:54,1,3,21,41,30.31
17,5:54,1,3,20,43,30.32
17,6:54,1,3,18,39,30.35
17,7:54,1,3,18,37,30.37
17,8:54,1,3,19,36,30.4
17,9:54,1,3,21,31,30.42
17,10:54,1,3,24,25,30.41
17,11:54,1,3,26,22,30.38
17,12:54,1,3,27,20,30.36
17,13:54,1,3,29,18,30.35
17,14:54,1,3,27,29,30.35
17,15:54,1,3,27,32,30.34
17,16:54,1,3,25,33,30.34
17,17:54,1,3,26,34,30.35
17,18:54,1,3,27,35,30.35
17,19:54,1,3,27,43,30.35
17,20:54,1,3,27,49,30.34
17,21:54,1,3,27,49,30.34
17,22:54,1,3,27,51,30.34
17,23:54,1,3,27,51,30.31
18,0:54,1,4,27,51,30.29
18,1:54,1,4,29,36,30.27
18,2:54,1,4,28,43,30.27
18,3:54,1,4,29,43,30.22
18,4:54,1,4,28,53,30.18
18,5:54,1,4,29,66,30.16
18,6:54,1,4,30,72,30.17
18,7:54,1,4,30,75,30.16
18,8:54,1,4,33,72,30.15
18,9:54,1,4,35,70,30.14
18,10:54,1,4,36,67,30.13
18,11:54,1,4,39,67,30.09
18,12:54,1,4,39,67,30.04
18,13:54,1,4,40,65,30.03
18,14:54,1,4,42,55,30.01
18,15:54,1,4,42,53,30
18,16:54,1,4,40,60,30.03
18,17:54,1,4,40,60,30.03
18,18:54,1,4,39,65,30.03
18,19:54,1,4,40,63,30.04
18,20:54,1,4,39,65,30.06
18,21:54,1,4,38,62,30.07
18,22:54,1,4,37,65,30.1
18,23:54,1,4,37,59,30.11
19,0:54,1,5,36,52,30.13
19,1:54,1,5,35,48,30.15
19,2:54,1,5,34,50,30.16
19,3:54,1,5,33,47,30.19
19,4:54,1,5,32,50,30.2
19,5:54,1,5,29,58,30.22
19,6:54,1,5,28,63,30.26
19,7:54,1,5,29,56,30.28
19,8:54,1,5,30,49,30.3
19,9:54,1,5,32,43,30.32
19,10:54,1,5,32,43,30.32
19,11:54,1,5,33,42,30.31
19,12:54,1,5,31,47,30.28
19,13:54,1,5,31,49,30.26
19,14:54,1,5,30,66,30.24
19,15:54,1,5,31,72,30.26
19,16:54,1,5,31,76,30.27
19,17:54,1,5,30,82,30.27
19,18:54,1,5,30,85,30.24
19,19:54,1,5,30,85,30.22
19,20:54,1,5,30,82,30.2
19,21:54,1,5,31,85,30.15
19,22:54,1,5,32,88,30.14
19,23:54,1,5,32,92,30.09
20,0:54,1,6,34,89,30.03
20,1:54,1,6,32,92,29.98
20,2:54,1,6,33,89,29.93
20,3:54,1,6,33,92,29.87
20,4:54,1,6,34,92,29.75
20,5:54,1,6,36,89,29.7
20,6:54,1,6,37,89,29.64
20,7:54,1,6,36,89,29.58
20,8:54,1,6,30,88,29.51
20,9:54,1,6,27,89,29.49
20,10:54,1,6,23,85,29.44
20,11:54,1,6,24,84,29.4
20,12:54,1,6,28,88,29.26
20,13:54,1,6,27,89,29.25
20,14:54,1,6,22,82,29.3
20,15:54,1,6,22,85,29.29
20,16:54,1,6,24,84,29.29
20,17:54,1,6,25,85,29.32
20,18:54,1,6,26,81,29.33
20,19:54,1,6,25,66,29.37
20,20:54,1,6,20,65,29.4
20,21:54,1,6,16,59,29.46
20,22:54,1,6,13,56,29.49
20,23:54,1,6,10,55,29.53
21,0:54,1,0,9,52,29.54
21,1:54,1,0,8,50,29.56
21,2:54,1,0,7,52,29.59
21,3:54,1,0,7,50,29.6
21,4:54,1,0,6,52,29.62
21,5:54,1,0,6,52,29.65
21,6:54,1,0,5,54,29.68
21,7:54,1,0,5,54,29.71
21,8:54,1,0,5,52,29.75
21,9:54,1,0,6,54,29.78
21,10:54,1,0,5,54,29.79
21,11:54,1,0,6,54,29.79
21,12:54,1,0,6,52,29.79
21,13:54,1,0,7,55,29.79
21,14:54,1,0,7,45,29.83
21,15:54,1,0,7,45,29.86
21,16:54,1,0,6,54,29.9
21,17:54,1,0,6,60,29.94
21,18:54,1,0,6,63,29.98
21,19:54,1,0,7,63,30.02
21,20:54,1,0,7,63,30.06
21,21:54,1,0,7,55,30.09
21,22:54,1,0,8,47,30.11
21,23:54,1,0,8,43,30.14
22,0:54,1,1,8,41,30.15
22,1:54,1,1,8,41,30.19
22,2:54,1,1,9,41,30.22
22,3:54,1,1,9,39,30.24
22,4:54,1,1,9,41,30.31
22,5:54,1,1,9,41,30.36
22,6:54,1,1,9,43,30.4
22,7:54,1,1,10,43,30.45
22,8:54,1,1,12,40,30.47
22,9:54,1,1,16,35,30.49
22,10:54,1,1,19,31,30.51
22,11:54,1,1,22,27,30.5
22,12:54,1,1,24,25,30.49
22,13:54,1,1,26,25,30.5
22,14:54,1,1,28,23,30.5
22,15:54,1,1,28,23,30.53
22,16:54,1,1,28,22,30.53
22,17:54,1,1,27,25,30.55
22,18:54,1,1,27,24,30.56
22,19:54,1,1,26,28,30.57
22,20:54,1,1,26,26,30.55
22,21:54,1,1,25,26,30.56
22,22:54,1,1,24,35,30.56
22,23:54,1,1,22,46,30.55
23,0:54,1,2,22,44,30.52
23,1:54,1,2,20,52,30.5
23,2:54,1,2,20,55,30.47
23,3:54,1,2,21,52,30.45
23,4:54,1,2,22,57,30.42
23,5:54,1,2,22,60,30.4
23,6:54,1,2,24,60,30.38
23,7:54,1,2,26,63,30.37
23,8:54,1,2,31,64,30.34
23,9:54,1,2,34,64,30.32
23,10:54,1,2,34,70,30.27
23,11:54,1,2,37,67,30.22
23,12:54,1,2,40,60,30.16
23,13:54,1,2,41,55,30.14
23,14:54,1,2,41,55,30.13
23,15:54,1,2,41,60,30.11
23,16:54,1,2,41,62,30.09
23,17:54,1,2,42,62,30.07
23,18:54,1,2,43,65,30.04
23,19:54,1,2,43,74,30.01
23,20:54,1,2,44,76,30
23,21:54,1,2,46,73,29.97
23,22:54,1,2,47,80,29.95
23,23:54,1,2,47,86,29.93
24,0:54,1,3,49,83,29.91
24,1:54,1,3,49,90,29.88
24,2:54,1,3,50,86,29.84
24,3:54,1,3,51,86,29.81
24,4:54,1,3,51,89,29.8
24,5:54,1,3,52,86,29.76
24,6:54,1,3,52,86,29.73
24,7:54,1,3,55,83,29.68
24,8:54,1,3,56,81,29.65
24,9:54,1,3,56,84,29.61
24,10:54,1,3,57,83,29.55
24,11:54,1,3,56,90,29.48
24,12:54,1,3,57,90,29.41
24,13:54,1,3,57,90,29.34
24,14:54,1,3,58,90,29.26
24,15:54,1,3,59,90,29.23
24,16:54,1,3,57,90,29.17
24,17:54,1,3,56,90,
24,18:54,1,3,52,86,29.2
24,19:54,1,3,53,74,29.26
24,20:54,1,3,49,69,29.37
24,21:54,1,3,43,63,29.45
24,22:54,1,3,40,65,29.5
24,23:54,1,3,37,62,29.57
25,0:54,1,4,36,59,29.62
25,1:54,1,4,35,57,29.66
25,2:54,1,4,35,57,29.69
25,3:54,1,4,34,59,29.71
25,4:54,1,4,34,59,29.75
25,5:54,1,4,34,54,29.78
25,6:54,1,4,34,54,29.83
25,7:54,1,4,35,54,29.85
25,8:54,1,4,36,52,29.85
25,9:54,1,4,37,50,29.86
25,10:54,1,4,39,45,29.85
25,11:54,1,4,41,41,29.84
25,12:54,1,4,41,39,29.83
25,13:54,1,4,40,40,29.83
25,14:54,1,4,40,38,29.85
25,15:54,1,4,39,41,29.87
25,16:54,1,4,38,37,29.9
25,17:54,1,4,37,39,29.93
25,18:54,1,4,37,39,29.98
25,19:54,1,4,34,44,30.02
25,20:54,1,4,33,40,30.05
25,21:54,1,4,32,43,30.06
25,22:54,1,4,30,45,30.09
25,23:54,1,4,29,45,30.12
26,0:54,1,5,28,41,30.15
26,1:54,1,5,27,45,30.17
26,2:54,1,5,26,46,30.17
26,3:54,1,5,25,42,30.19
26,4:54,1,5,25,44,30.2
26,5:54,1,5,25,44,30.2
26,6:54,1,5,25,44,30.22
26,7:54,1,5,26,44,30.23
26,8:54,1,5,27,39,30.24
26,9:54,1,5,29,38,30.24
26,10:54,1,5,31,35,30.24
26,11:54,1,5,31,35,30.21
26,12:54,1,5,33,33,30.2
26,13:54,1,5,35,32,30.19
26,14:54,1,5,35,32,30.18
26,15:54,1,5,35,32,30.18
26,16:54,1,5,34,32,30.21
26,17:54,1,5,34,32,30.23
26,18:54,1,5,32,36,30.25
26,19:54,1,5,33,35,30.27
26,20:54,1,5,32,36,30.27
26,21:54,1,5,31,40,30.27
26,22:54,1,5,31,40,30.27
26,23:54,1,5,28,56,30.27
27,0:54,1,6,28,58,30.27
27,1:54,1,6,31,54,30.27
27,2:54,1,6,28,60,30.27
27,3:54,1,6,27,61,30.24
27,4:54,1,6,28,58,30.22
27,5:54,1,6,30,58,30.21
27,6:54,1,6,30,61,30.2
27,7:54,1,6,32,61,30.18
27,8:54,1,6,34,59,30.17
27,9:54,1,6,36,59,30.14
27,10:54,1,6,41,60,30.09
27,11:54,1,6,44,58,30.05
27,12:54,1,6,45,56,30.01
27,13:54,1,6,46,50,30.01
27,14:54,1,6,46,51,29.93
27,15:54,1,6,44,58,29.93
27,16:54,1,6,43,63,29.93
27,17:54,1,6,43,63,29.93
27,18:54,1,6,43,65,29.92
27,19:54,1,6,43,68,29.91
27,20:54,1,6,43,68,29.92
27,21:54,1,6,42,68,29.92
27,22:54,1,6,41,67,29.92
27,23:54,1,6,41,65,29.92
28,0:54,1,0,42,55,29.94
28,1:54,1,0,37,59,29.97
28,2:54,1,0,36,55,29.97
28,3:54,1,0,34,54,30.01
28,4:54,1,0,32,47,30.02
28,5:54,1,0,30,45,30.05
28,6:54,1,0,28,49,30.05
28,7:54,1,0,27,45,30.05
28,8:54,1,0,27,43,30.12
28,9:54,1,0,29,34,30.13
28,10:54,1,0,28,35,30.14
28,11:54,1,0,30,33,30.11
28,12:54,1,0,31,31,30.1
28,13:54,1,0,32,33,30.09
28,14:54,1,0,31,33,30.07
28,15:54,1,0,30,33,30.09
28,16:54,1,0,29,31,30.09
28,17:54,1,0,28,32,30.08
28,18:54,1,0,27,35,30.08
28,19:54,1,0,27,32,30.08
28,20:54,1,0,27,34,30.09
28,21:54,1,0,26,40,30.08
28,22:54,1,0,25,40,30.09
28,23:54,1,0,25,44,30.09
29,0:54,1,1,25,50,30.09
29,1:54,1,1,25,55,30.1
29,2:54,1,1,25,63,30.09
29,3:54,1,1,28,63,30.08
29,4:54,1,1,28,63,30.08
29,5:54,1,1,28,63,30.09
29,6:54,1,1,22,71,30.13
29,7:54,1,1,21,74,30.14
29,8:54,1,1,21,71,30.13
29,9:54,1,1,24,71,30.13
29,10:54,1,1,26,69,30.11
29,11:54,1,1,29,69,30.07
29,12:54,1,1,30,69,30.05
29,13:54,1,1,34,64,30.03
29,14:54,1,1,34,64,30.02
29,15:54,1,1,35,67,29.99
29,16:54,1,1,35,67,29.96
29,17:54,1,1,36,67,29.96
29,18:54,1,1,36,70,29.94
29,19:54,1,1,37,70,29.92
29,20:54,1,1,37,73,29.9
29,21:54,1,1,37,79,29.85
29,22:54,1,1,37,86,29.83
29,23:54,1,1,37,86,29.8
30,0:54,1,2,37,89,29.76
30,1:54,1,2,38,93,29.73
30,2:54,1,2,38,93,29.71
30,3:54,1,2,38,93,29.7
30,4:54,1,2,34,89,29.71
30,5:54,1,2,28,81,29.73
30,6:54,1,2,28,78,29.74
30,7:54,1,2,29,75,29.76
30,8:54,1,2,30,66,29.77
30,9:54,1,2,30,64,29.79
30,10:54,1,2,29,51,29.8
30,11:54,1,2,30,43,29.78
30,12:54,1,2,30,34,29.75
30,13:54,1,2,32,29,29.75
30,14:54,1,2,32,30,29.75
30,15:54,1,2,33,32,29.77
30,16:54,1,2,31,36,29.76
30,17:54,1,2,30,39,29.76
30,18:54,1,2,28,72,29.76
30,19:54,1,2,23,60,29.84
30,20:54,1,2,19,68,29.89
30,21:54,1,2,13,42,29.97
30,22:54,1,2,11,38,30.02
30,23:54,1,2,9,36,30.06
31,0:54,1,3,8,37,30.08
31,1:54,1,3,8,39,30.11
31,2:54,1,3,7,39,30.14
31,3:54,1,3,6,38,30.16
31,4:54,1,3,5,40,30.19
31,5:54,1,3,5,38,30.19
31,6:54,1,3,5,38,30.22
31,7:54,1,3,6,38,30.24
31,8:54,1,3,6,38,30.28
31,9:54,1,3,9,37,30.28
31,10:54,1,3,11,34,30.29
31,11:54,1,3,13,31,30.27
31,12:54,1,3,15,27,30.25
31,13:54,1,3,17,25,30.23
31,14:54,1,3,17,25,30.22
31,15:54,1,3,18,25,30.23
31,16:54,1,3,17,25,30.24
31,17:54,1,3,16,27,30.27
31,18:54,1,3,15,32,30.29
31,19:54,1,3,14,33,30.3
31,20:54,1,3,14,33,30.32
31,21:54,1,3,14,35,30.32
31,22:54,1,3,14,33,30.33
31,23:54,1,3,14,35,30.33
1,0:54,2,4,14,33,30.32
1,1:54,2,4,13,35,30.33
1,2:54,2,4,13,36,30.33
1,3:54,2,4,12,40,30.34
1,4:54,2,4,11,40,30.35
1,5:54,2,4,11,38,30.35
1,6:54,2,4,11,38,30.37
1,7:54,2,4,12,38,30.39
1,8:54,2,4,14,36,30.39
1,9:54,2,4,17,35,30.38
1,10:54,2,4,18,34,30.37
1,11:54,2,4,20,32,30.34
1,12:54,2,4,22,30,30.32
1,13:54,2,4,22,30,30.3
1,14:54,2,4,23,30,30.29
1,15:54,2,4,23,30,30.29
1,16:54,2,4,22,31,30.29
1,17:54,2,4,21,36,30.3
1,18:54,2,4,21,36,30.31
1,19:54,2,4,20,36,30.32
1,20:54,2,4,19,37,30.32
1,21:54,2,4,18,41,30.32
1,22:54,2,4,17,43,30.32
1,23:54,2,4,17,45,30.33
2,0:54,2,5,16,47,30.32
2,1:54,2,5,16,47,30.33
2,2:54,2,5,16,47,30.31
2,3:54,2,5,15,53,30.31
2,4:54,2,5,15,49,30.31
2,5:54,2,5,15,51,30.31
